"#","Word","Frequency","Google_Translate","Wolfram_Translate"
48,"hat",0.002930048896270297,"Has","Missing[""NotAvailable""]"
49,"nur",0.002884284871269611,"just","{""pure"", ""mere"", ""simple"", ""simply"", ""only"", ""just"", ""merely"", ""but"", ""entirely"", ""except that"", ""exclusively"", ""solely""}"
50,"einem",0.0028361462978019093,"one","Missing[""NotAvailable""]"
51,"des",0.0027338248456777355,"of","Missing[""NotAvailable""]"
52,"vor",0.0027243266518096687,"in front","{""ago"", ""since"", ""before"", ""in front of"", ""earlier than"", ""by"", ""prior to"", ""to"", ""of"", ""till"", ""until""}"
53,"sagte",0.0025562374027505476,"said","Missing[""NotAvailable""]"
54,"seine",0.0025326358301086846,"his","{""his"", ""its""}"
55,"über",0.002492772198268465,"about","{""across"", ""over"", ""above"", ""beyond"", ""past"", ""about"", ""by"", ""via"", ""by way of"", ""to spare"", ""left over"", ""later than"", ""concerning"", ""connected with"", ""in regard to"", ""regarding"", ""as regards""}"
56,"ihre",0.002486655937065543,"your","{""her"", ""their"", ""theirs"", ""hers""}"
57,"doch",0.0023406571843510924,"but","{""anyway"", ""anyhow"", ""in any case"", ""nevertheless"", ""nonetheless"", ""in spite of this"", ""in spite of that"", ""though"", ""but"", ""yet"", ""still"", ""however"", ""except that"", ""only""}"
58,"einer",0.0023059024295156664,"one","{""either"", ""one or the other"", ""either two"", ""anyone"", ""anybody"", ""one""}"
59,"haben",0.0022527988910714747,"to have","{""have""}"
60,"wieder",0.0021878945663063518,"again","{""again"", ""once more"", ""anew"", ""afresh"", ""once again""}"
61,"waren",0.002028080258874713,"were","Missing[""NotAvailable""]"
62,"man",0.00202477028222372,"you","{""one"", ""they"", ""you""}"
63,"oder",0.0020200931413038386,"or","{""or""}"
64,"da",0.001990519219487358,"there","{""because"", ""since"", ""for"", ""for the reason that"", ""by reason of"", ""as"", ""thereabouts"", ""thereabout""}"
65,"schon",0.0019101443516795504,"beautiful","{""already""}"
66,"ja",0.001856968857221207,"Yes","{""aye"", ""yea"", ""yes""}"
67,"konnte",0.0018487658716078766,"could","Missing[""NotAvailable""]"
68,"habe",0.0018447363348153634,"have","Missing[""NotAvailable""]"
69,"bei",0.0018019225063949109,"at","{""at"", ""in"", ""with"", ""by"", ""near"", ""next to""}"
70,"würde",0.0017878910836352667,"would","Missing[""NotAvailable""]"
71,"mehr",0.0017419831466062774,"more","{""more"", ""additional"", ""supplementary"", ""extra"", ""further"", ""more specific"", ""more detailed""}"
72,"zum",0.0017062929635868749,"to the","Missing[""NotAvailable""]"
73,"immer",0.0017023353828085138,"always","{""always"", ""forever"", ""all the time"", ""at all times"", ""ever"", ""incessantly""}"
74,"am",0.0016916139366998627,"at the","Missing[""NotAvailable""]"
75,"hier",0.0016747762293882896,"here","{""here"", ""this"", ""this place""}"
76,"jetzt",0.0016639828272654866,"now","{""now""}"
77,"etwas",0.0015893644405898407,"something","{""any"", ""anything"", ""barely"", ""hardly"", ""only just"", ""some"", ""something"", ""somewhat""}"
78,"sind",0.0015601502988441202,"are","Missing[""NotAvailable""]"
79,"uns",0.0015507960170043575,"us","{""us"", ""ourselves""}"
80,"sah",0.0014299818692431142,"saw","Missing[""NotAvailable""]"
81,"keine",0.0013867363047377495,"no","{""do not"", ""no"", ""none"", ""not any""}"
82,"ihnen",0.0013521254619306275,"them","{""them""}"
83,"nichts",0.0013497509134636106,"Nothing","{""nothing"", ""not a thing"", ""zilch"", ""zip""}"
84,"dich",0.0013281641092180044,"you","{""you"", ""yourself""}"
85,"mal",0.0013277323731330922,"times","{""times"", ""multiplied by""}"
86,"augen",0.001302979504264797,"eyes","Missing[""NotAvailable""]"
87,"durch",0.0012727579783209481,"by","{""by means of"", ""by"", ""through"", ""thanks to"", ""because of"", ""of"", ""throughout"", ""all through"", ""till the end of""}"
88,"alles",0.0012699516937690193,"everything","{""everything"", ""all things"", ""each thing"", ""anything"", ""no matter what"", ""the most important""}"
89,"meine",0.0012636915205377936,"my","{""my"", ""mine""}"
90,"wurde",0.0012528261624008383,"has been","Missing[""NotAvailable""]"
91,"kann",0.001248292933509261,"can","Missing[""NotAvailable""]"
92,"hätte",0.0012453427369290282,"would have","Missing[""NotAvailable""]"
93,"dir",0.001241457112164819,"to you","{""you""}"
94,"seinen",0.0012326784784382724,"his","Missing[""NotAvailable""]"
95,"bis",0.001204183896834072,"to","{""up to"", ""to"", ""until"", ""till"", ""up to the time of"", ""before""}"
96,"wollte",0.0011856192451828508,"wanted to","Missing[""NotAvailable""]"
97,"ihren",0.0011842520809139622,"their","Missing[""NotAvailable""]"
98,"mann",0.0011828849166450738,"man","Missing[""NotAvailable""]"
99,"hatten",0.001166047209333501,"had","Missing[""NotAvailable""]"
100,"diese",0.0011630970127532681,"this","{""these"", ""this"", ""this one""}"
101,"werden",0.0011311485424697707,"become","{""become"", ""get"", ""will"", ""'ll"", ""shall"", ""grow into"", ""turn into""}"
102,"seiner",0.0011194916681771434,"its","{""his""}"
103,"zur",0.0011056761134599553,"to","Missing[""NotAvailable""]"
104,"denn",0.001091644690700311,"because","{""for"", ""because"", ""since"", ""for the reason that"", ""by reason of"", ""as""}"
105,"kopf",0.0010868236377521258,"head","Missing[""NotAvailable""]"
106,"hand",0.0010781169600397311,"hand","Missing[""NotAvailable""]"
107,"vielleicht",0.0010761741476576266,"perhaps","{""perhaps"", ""maybe"", ""possibly""}"
108,"ganz",0.001053651915228044,"all","{""whole"", ""entire"", ""thorough"", ""total"", ""complete"", ""arrant"", ""thoroughgoing"", ""out-and-out"", ""all-out"", ""all"", ""the whole of"", ""integral"", ""entirely"", ""quite"", ""altogether"", ""wholly"", ""completely"", ""thoroughly"", ""totally"", ""fully"", ""throughout"", ""all through"", ""outright""}"
109,"fragte",0.0010448013254873456,"asked","Missing[""NotAvailable""]"
110,"bin",0.0010448013254873456,"am","Missing[""NotAvailable""]"
111,"gut",0.0010408437447089844,"Well","{""good"", ""neat"", ""nifty"", ""retentive"", ""well-behaved"", ""obedient"", ""fine"", ""beautiful"", ""nice"", ""friendly"", ""kind"", ""amiable"", ""in store"", ""owing to someone"", ""outstanding"", ""nicely"", ""well"", ""all right"", ""alright"", ""thoroughly"", ""much"", ""quite""}"
112,"wird",0.0010241499494257154,"becomes","Missing[""NotAvailable""]"
113,"alle",0.0010238621253691074,"all","{""every"", ""all"", ""everyone""}"
114,"seinem",0.0010076000661707505,"his","Missing[""NotAvailable""]"
115,"können",0.0010075281101565986,"can","{""can"", ""will"", ""may""}"
116,"anderen",0.0010018435850385888,"other","Missing[""NotAvailable""]"
117,"hast",0.0009825593732458472,"have","Missing[""NotAvailable""]"
118,"unter",0.000981911769118479,"under","{""lower"", ""under"", ""nether"", ""underneath"", ""below"", ""beneath"", ""less than""}"
119,"wo",0.0009750759477740371,"Where","{""where""}"
120,"dieser",0.0009624836452974334,"this","{""this"", ""this one""}"
121,"zeit",0.0009605408329153289,"Time","Missing[""NotAvailable""]"
122,"frau",0.0009434872575612999,"woman","Missing[""NotAvailable""]"
123,"ihrer",0.0009326218994243447,"of their","{""hers""}"
124,"weil",0.000926865418292183,"because","{""because"", ""since"", ""for"", ""for the reason that"", ""by reason of"", ""as""}"
125,"sehr",0.0009193100368062208,"very","{""very"", ""most"", ""uncommonly"", ""very much"", ""badly"", ""seriously"", ""greatly"", ""gravely"", ""sorely"", ""deeply"", ""profoundly"", ""immensely"", ""extremely""}"
126,"während",0.0009163598402259879,"while","{""while"", ""whereas"", ""during""}"
127,"ging",0.0009050627460041207,"went","Missing[""NotAvailable""]"
128,"einmal",0.0009042712298484484,"once","{""once"", ""one time"", ""one day"", ""someday"", ""ever""}"
129,"also",0.0008980110566172226,"so","{""consequently"", ""hence"", ""thus"", ""as a result"", ""therefore"", ""so""}"
130,"mein",0.0008950608600369897,"my","{""my""}"
131,"gewesen",0.0008921106634567569,"been","Missing[""NotAvailable""]"
132,"damit",0.0008916789273718447,"in order to","{""so that"", ""in order that"", ""so"", ""thereby"", ""by that means""}"
133,"selbst",0.0008829002936452981,"self","{""even"", ""herself"", ""himself"", ""itself"", ""myself"", ""oneself"", ""ourselves"", ""still"", ""themselves"", ""yourself"", ""yourselves""}"
134,"zwei",0.0008825405135745381,"two","{""two""}"
135,"weiß",0.0008796622730084572,"White","{""white"", ""pale""}"
136,"nein",0.0008492248790221523,"No","{""no""}"
137,"gab",0.0008466344625126796,"gave","Missing[""NotAvailable""]"
138,"kam",0.0008441160020173588,"came","Missing[""NotAvailable""]"
139,"wäre",0.0008359130164040284,"would","Missing[""NotAvailable""]"
140,"ihrem",0.0008351215002483562,"their","Missing[""NotAvailable""]"
141,"zurück",0.0008323152156964273,"back","{""back"", ""rearwards"", ""rearward""}"
142,"ohne",0.0008280698108614581,"without","{""destitute of"", ""devoid of"", ""lacking in"", ""without"", ""out of"", ""void of"", ""devoid"", ""lacking""}"
143,"ins",0.0008233207139274248,"in the","Missing[""NotAvailable""]"
144,"eines",0.0008179240128660232,"one","Missing[""NotAvailable""]"
145,"gesicht",0.0008120955757197094,"face","Missing[""NotAvailable""]"
146,"stand",0.0008030291179365548,"was standing","Missing[""NotAvailable""]"
147,"viel",0.0007997191412855619,"much","{""much"", ""a lot of"", ""far"", ""well"", ""quite""}"
148,"blick",0.0007869109707665021,"view","Missing[""NotAvailable""]"
149,"ab",0.0007856877185259178,"from","Missing[""NotAvailable""]"
150,"ließ",0.0007807227535494282,"was","Missing[""NotAvailable""]"
151,"nie",0.0007781323370399555,"never","{""never""}"
152,"ob",0.0007697134833841691,"if","{""if"", ""whether""}"
153,"warum",0.0007688500112143448,"Why","{""why"", ""what is"", ""for what reason""}"
154,"sehen",0.0007623020139265108,"see","{""look"", ""see"", ""imagine"", ""watch"", ""view""}"
155,"musste",0.0007613665857425346,"had to","Missing[""NotAvailable""]"
156,"daß",0.0007596396414028861,"that","Missing[""NotAvailable""]"
157,"leben",0.000755825972652829,"Life","{""live"", ""reside"", ""dwell"", ""be alive""}"
158,"sagen",0.0007463997347989142,"say","{""say"", ""tell""}"
159,"nun",0.0007461838667564581,"now","{""well""}"
160,"dachte",0.0007439532303177456,"thought","Missing[""NotAvailable""]"
161,"kein",0.0007221505580296832,"no","{""no""}"
162,"vom",0.0007106375957653598,"from","Missing[""NotAvailable""]"
163,"einfach",0.0006953109647509793,"simple","{""single"", ""unpretentious"", ""one-way"", ""simple"", ""plain"", ""not complicated"", ""straightforward"", ""sober"", ""unsophisticated"", ""pure"", ""mere"", ""easy"", ""not difficult"", ""elementary"", ""austere"", ""austerely"", ""just"", ""simply"", ""downright"", ""easily"", ""without difficulty"", ""effortlessly""}"
164,"weg",0.0006948792286660672,"path","{""aside"", ""apart"", ""in reserve"", ""away""}"
165,"paar",0.0006926485922273545,"pair","Missing[""NotAvailable""]"
166,"tun",0.0006891947035480576,"do","{""do"", ""make"", ""act""}"
167,"tür",0.0006835101784300479,"door","Missing[""NotAvailable""]"
168,"dort",0.000677034137156366,"there","{""there"", ""at that place"", ""over there""}"
169,"wissen",0.0006714935240666603,"knowledge","{""know""}"
170,"sollte",0.0006630027143967219,"should","Missing[""NotAvailable""]"
171,"hinter",0.0006562388490664319,"Behind","{""behind""}"
172,"muss",0.000653216696472047,"got to","Missing[""NotAvailable""]"
173,"diesem",0.0006483956435238615,"this","Missing[""NotAvailable""]"
174,"wusste",0.0006478919514247974,"knew","Missing[""NotAvailable""]"
175,"gerade",0.0006455174029577807,"just","{""straight"", ""even"", ""forthright"", ""just""}"
176,"gesagt",0.0006401207018963791,"told","Missing[""NotAvailable""]"
177,"stimme",0.0006387535376274907,"voice","Missing[""NotAvailable""]"
178,"machen",0.0006363070331463221,"do","{""make"", ""render"", ""turn in"", ""make up"", ""do"", ""take"", ""fix"", ""repair"", ""mend""}"
179,"lassen",0.0006331409685236332,"to let","{""leave"", ""leave over"", ""allow"", ""permit"", ""let"", ""grant permission to"", ""suppose""}"
180,"will",0.0006203327980045734,"want","Missing[""NotAvailable""]"
181,"andere",0.0006183180296083167,"other","{""other"", ""others""}"
182,"gar",0.0006144324048441076,"at all","{""done""}"
183,"hielt",0.0006132811086176753,"held","Missing[""NotAvailable""]"
184,"bist",0.0006079563635704257,"are","Missing[""NotAvailable""]"
185,"wirklich",0.0005896795359758124,"for real","{""real"", ""actual"", ""true"", ""really"", ""actually"", ""simply"", ""truly""}"
186,"erst",0.0005862256472965154,"first","{""primary"", ""prime"", ""principal"", ""main"", ""chief"", ""first"", ""only"", ""just"", ""merely"", ""but"", ""simply""}"
187,"nahm",0.0005860817352682113,"took","Missing[""NotAvailable""]"
188,"weiter",0.00058140459434833,"further","{""farther"", ""further"", ""more specific"", ""more detailed""}"
189,"genau",0.0005811167702917219,"exactly","{""very"", ""exact"", ""strict"", ""precise"", ""careful"", ""conscientious"", ""meticulous"", ""punctilious"", ""accurate"", ""thorough"", ""strictly"", ""nicely"", ""exactly"", ""accurately"", ""precisely"", ""right"", ""plumb"", ""in detail"", ""just""}"
190,"müssen",0.0005732016087349997,"have to","{""must"", ""ought to"", ""should"", ""need"", ""need to"", ""have to""}"
191,"haus",0.0005703953241830708,"House","Missing[""NotAvailable""]"
192,"dabei",0.0005698916320840067,"there","Missing[""NotAvailable""]"
193,"zog",0.0005662938313764056,"drew","Missing[""NotAvailable""]"
194,"gegen",0.0005637753708810848,"against","{""against"", ""alien to"", ""toward"", ""opposed to"", ""at"", ""around"", ""contra"", ""versus"", ""anti""}"
195,"mutter",0.0005622642945838924,"mother","Missing[""NotAvailable""]"
196,"lange",0.0005556443412819065,"Long","{""for a long time""}"
197,"machte",0.0005479450477676402,"made","Missing[""NotAvailable""]"
198,"darauf",0.0005384468538995735,"thereon","{""thereupon"", ""after"", ""afterwards"", ""afterward"", ""later"", ""subsequently"", ""next"", ""on it"", ""on"", ""over it""}"
199,"beiden",0.0005345612291353643,"both","Missing[""NotAvailable""]"
200,"menschen",0.0005283730119182905,"People","Missing[""NotAvailable""]"
201,"davon",0.000519522422177592,"from that","{""thereof"", ""belonging to"", ""of that""}"
202,"dieses",0.0005182272139228556,"this","{""this""}"
203,"zwischen",0.0005136939850312782,"between","{""between"", ""among""}"
204,"gehen",0.0005062825155736201,"walk","{""go"", ""leave"", ""move on"", ""get along"", ""get going"", ""walk"", ""function"", ""work"", ""operate""}"
205,"wer",0.0005015334186395866,"who","{""who""}"
206,"gibt",0.0005005260344414583,"gives","Missing[""NotAvailable""]"
207,"sei",0.0004965684536630972,"be","Missing[""NotAvailable""]"
208,"heute",0.0004931145649838002,"today","{""today"", ""nowadays"", ""at present"", ""presently""}"
209,"könnte",0.000492466960856432,"could","Missing[""NotAvailable""]"
210,"sicher",0.0004910278405733916,"for sure","{""safe"", ""secure"", ""certain"", ""convinced"", ""satisfied"", ""confident"", ""sure"", ""positive"", ""indisputable"", ""without risk"", ""assured"", ""self-assured"", ""self-confident"", ""sure of oneself"", ""bound"", ""for sure"", ""for certain"", ""with certainty"", ""rightly"", ""certainly"", ""surely"", ""definitely"", ""assuredly"", ""of course"", ""doubtlessly"", ""obviously"", ""very well"", ""very good""}"
211,"drei",0.0004898045883328072,"three","{""three""}"
212,"tag",0.0004895887202903511,"Day","Missing[""NotAvailable""]"
213,"zusammen",0.0004835444151015814,"together","{""together"", ""amongst one another"", ""with each other""}"
214,"worden",0.0004722473208797141,"been","Missing[""NotAvailable""]"
215,"fast",0.0004672823559032246,"nearly","{""almost"", ""nearly"", ""all but"", ""not quite""}"
216,"vater",0.0004636845551956236,"father","Missing[""NotAvailable""]"
217,"meinen",0.0004605904465870867,"mean","{""mean"", ""drive at"", ""reckon"", ""think"", ""suppose"", ""figure""}"
218,"gesehen",0.00045979893043141445,"seen","Missing[""NotAvailable""]"
219,"diesen",0.0004589354582615902,"this","Missing[""NotAvailable""]"
220,"geht",0.0004562011297238134,"going","Missing[""NotAvailable""]"
221,"keinen",0.00045540961356814116,"no","Missing[""NotAvailable""]"
222,"hin",0.00045188376887469214,"down","Missing[""NotAvailable""]"
223,"seit",0.0004408744987094329,"since","{""from ... onward"", ""from ... on"", ""from ... onwards"", ""from ... forwards"", ""since"", ""for"", ""ever since""}"
224,"seite",0.00044065863066697683,"page","Missing[""NotAvailable""]"
225,"kommen",0.0004398671145113046,"come","{""come""}"
226,"dafür",0.0004367010498886157,"for this","{""pro"", ""in favor""}"
227,"sogar",0.0004361254017753995,"even","{""even"", ""still""}"
228,"neben",0.0004359095337329435,"Next","{""next to"", ""alongside of"", ""closest to"", ""near"", ""beside"", ""compared with"", ""by contrast with"", ""against"", ""besides"", ""apart from"", ""in addition to"", ""as well as"", ""alongside"", ""at the side of"", ""other than"", ""aside from""}"
229,"soll",0.00043288738113855856,"should","Missing[""NotAvailable""]"
230,"moment",0.0004306567446998459,"moment","Missing[""NotAvailable""]"
231,"lag",0.0004302250086149338,"was","Missing[""NotAvailable""]"
232,"daran",0.0004288578443460454,"it","Missing[""NotAvailable""]"
233,"mädchen",0.0004272028560205489,"girl","Missing[""NotAvailable""]"
234,"ersten",0.00042576373573750847,"first","Missing[""NotAvailable""]"
235,"ganze",0.000424180703426164,"whole","Missing[""NotAvailable""]"
236,"legte",0.00042396483538370794,"put","Missing[""NotAvailable""]"
237,"boden",0.00042324527524218776,"ground","Missing[""NotAvailable""]"
238,"schließlich",0.0004226696271289716,"in the end","{""finally"", ""at last"", ""in the end"", ""ultimately"", ""after all"", ""lastly"", ""eventually""}"
239,"wohl",0.00042151833090253927,"well","{""well""}"
240,"sondern",0.0004202950786619549,"rather","{""but""}"
241,"natürlich",0.00041971943054873874,"Naturally","{""natural"", ""inbred"", ""unaffected"", ""unstudied"", ""naturally""}"
242,"werde",0.0004196474745345867,"will","Missing[""NotAvailable""]"
243,"euch",0.00041950356250628265,"you","{""you"", ""yourselves""}"
244,"schien",0.00041928769446382657,"appeared","Missing[""NotAvailable""]"
245,"dazu",0.0004174887941100261,"to","Missing[""NotAvailable""]"
246,"meiner",0.0004143946855014892,"mine","{""mine""}"
247,"plötzlich",0.0004114444889212563,"suddenly","{""overnight"", ""sudden"", ""flash"", ""abrupt"", ""suddenly"", ""all of a sudden"", ""all at once"", ""short""}"
248,"bevor",0.00040633561191646283,"before","{""before"", ""earlier than"", ""prior to"", ""previous to"", ""until"", ""till""}"
249,"ende",0.0004054001837324865,"The End","Missing[""NotAvailable""]"
250,"männer",0.00040403301946359814,"Men","Missing[""NotAvailable""]"
251,"welt",0.00040302563526546984,"world","Missing[""NotAvailable""]"
252,"jemand",0.0004025219431664057,"someone","{""anyone"", ""anybody"", ""somebody"", ""someone""}"
253,"hörte",0.0004025219431664057,"heard","Missing[""NotAvailable""]"
254,"hab",0.0004024499871522537,"hab","Missing[""NotAvailable""]"
255,"später",0.0004024499871522537,"later","{""after"", ""afterwards"", ""afterward"", ""later"", ""subsequently"", ""next"", ""in time"", ""in due time"", ""later on"", ""some day"", ""hereafter"", ""after this""}"
256,"nacht",0.0003993558785437168,"night","Missing[""NotAvailable""]"
257,"hände",0.00039928392252956474,"hands","Missing[""NotAvailable""]"
258,"kaum",0.000396693506020092,"barely","{""barely"", ""hardly"", ""only just"", ""with difficulty"", ""scarcely"", ""not very""}"
259,"kleinen",0.00039525438573705156,"small","Missing[""NotAvailable""]"
260,"wenig",0.0003910089809020823,"little","{""few"", ""not many"", ""little"", ""not much"", ""not very""}"
261,"gleich",0.0003907931128596263,"equal","{""equal"", ""like"", ""similar"", ""of the same quality"", ""the same"", ""alike"", ""similarly"", ""immediately"", ""instantly"", ""instantaneously"", ""soon"", ""shortly"", ""right away"", ""at once"", ""directly"", ""straightaway"", ""forthwith""}"
262,"würden",0.00039007355271810604,"would","Missing[""NotAvailable""]"
263,"wollen",0.00038870638844921767,"want","{""woollen"", ""want"", ""desire"", ""like to"", ""be willing to"", ""wish""}"
264,"luft",0.0003874111801944813,"air","Missing[""NotAvailable""]"
265,"recht",0.00038604401592559287,"Law","{""plain"", ""right""}"
266,"beim",0.0003836694674585762,"at the","{""in the act of""}"
267,"stehen",0.00038316577535951204,"stand","{""appear"", ""be listed"", ""figure"", ""stand"", ""be upright""}"
268,"weit",0.0003803594908075832,"far","{""wide"", ""extensive"", ""commodious"", ""spacious"", ""roomy"", ""loose"", ""far-off"", ""distant"", ""faraway"", ""far off"", ""far"", ""afar"", ""way""}"
269,"wurden",0.0003766177780716781,"were","Missing[""NotAvailable""]"
270,"besser",0.0003757543059018539,"better","{""better""}"
271,"fuhr",0.00037496278974618165,"drove","Missing[""NotAvailable""]"
272,"eigentlich",0.0003744590976471175,"actually","{""virtual""}"
273,"bitte",0.00037294802134992504,"You're welcome","{""kindly"", ""please"", ""you're welcome""}"
274,"leute",0.0003723723732367089,"People","Missing[""NotAvailable""]"
275,"angst",0.00037078934092536444,"anxiety","Missing[""NotAvailable""]"
276,"blieb",0.000369422176656476,"remained","Missing[""NotAvailable""]"
277,"gemacht",0.00036920630861401993,"made","Missing[""NotAvailable""]"
278,"kurz",0.0003642413436375305,"short","{""brief"", ""short"", ""little"", ""concise"", ""compact"", ""summarized"", ""condensed"", ""curt"", ""terse"", ""briefly"", ""shortly"", ""in short"", ""without wasting words"", ""in a few words"", ""for a little while"", ""for a moment"", ""for a bit""}"
279,"bereits",0.00036344982748185827,"already","{""already""}"
280,"kleine",0.0003594202906893451,"small","Missing[""NotAvailable""]"
281,"setzte",0.00035891659859028094,"sat","Missing[""NotAvailable""]"
282,"sofort",0.00035790921439215264,"right away","{""immediately"", ""instantly"", ""at once"", ""immediate"", ""instant"", ""promptly"", ""right away"", ""directly"", ""straightaway"", ""forthwith"", ""straight away""}"
283,"sagt",0.0003577653023638486,"says","Missing[""NotAvailable""]"
284,"nickte",0.0003573335662789365,"nodded","Missing[""NotAvailable""]"
285,"viele",0.00035488706179776777,"lots","{""many"", ""a lot of"", ""many people"", ""many a person"", ""a lot of people""}"
286,"macht",0.0003540235896279435,"power","Missing[""NotAvailable""]"
287,"mund",0.00035287229340151115,"mouth","Missing[""NotAvailable""]"
288,"allein",0.0003525125133307511,"alone","{""by oneself"", ""alone"", ""separate"", ""entirely"", ""only""}"
289,"klar",0.000352152733259991,"clear","{""outright"", ""out-and-out"", ""absolute"", ""downright"", ""definite"", ""clear-cut"", ""precise"", ""well-defined"", ""explicit"", ""clear"", ""clean-cut"", ""lucid"", ""clearly outlined"", ""bright"", ""perspicuous"", ""distinct"", ""sharply defined"", ""axiomatic"", ""self-evident"", ""aphoristic"", ""evident"", ""apparent"", ""obvious"", ""plain"", ""unmistakable"", ""straight"", ""clearly""}"
290,"deine",0.00035200882123168694,"yours","{""your"", ""yours""}"
291,"versuchte",0.0003508575250052546,"tried","Missing[""NotAvailable""]"
292,"morgen",0.0003505697009486465,"tomorrow","{""tomorrow""}"
293,"fest",0.00035013796486373436,"firmly","{""regular"", ""steady"", ""established"", ""permanent"", ""fixed"", ""firm"", ""stable"", ""solid"", ""tight"", ""determined"", ""resolute"", ""decisive"", ""stout"", ""fast"", ""tightly"", ""firmly"", ""faithfully"", ""solidly""}"
294,"schnell",0.00034992209682127833,"fast","{""fast"", ""quick"", ""rapid"", ""nippy"", ""speedy"", ""ready"", ""prompt"", ""expeditious"", ""in a great hurry"", ""in a rush"", ""in a hurry"", ""quickly"", ""hastily"", ""hurriedly"", ""posthaste"", ""swiftly"", ""apace"", ""sharply"", ""suddenly"", ""soon""}"
295,"denen",0.0003495623167505182,"to those","{""who"", ""whom"", ""that""}"
